Threads,Connections,Duration,Page,Total Requests,Total Time,Data Read,Requests/Sec,Transfer/Sec,Thread Latency Avg,Thread Latency StDev,Thread Latency Max,Thread Latency +/- StDev,Thread Req/Sec Avg,Thread Req/Sec StDev,Thread Req/Sec Max,Thread Req/Sec +/- StDev,Connect Errors,Read Errors,Write Errors,Timeout Errors
3,26,10,,134667,10.10s,34.70MB,13333.59,3.44MB,3.74ms,98.34%,403.70ms,98.34%,4.49k,77.41%,7.55k,77.41%,,,,
3,27,10,,135354,10.10s,34.88MB,13400.82,3.45MB,2.19ms,95.92%,125.94ms,95.92%,4.49k,69.97%,6.21k,69.97%,,,,
3,28,10,,135024,10.00s,34.79MB,13500.07,3.48MB,2.31ms,98.18%,262.62ms,98.18%,4.52k,71.00%,6.11k,71.00%,,,,
3,29,10,,133842,10.10s,34.49MB,13251.92,3.41MB,2.43ms,98.91%,202.33ms,98.91%,4.45k,69.54%,6.14k,69.54%,,,,
3,30,10,,118069,10.10s,30.42MB,11690.65,3.01MB,3.63ms,98.66%,308.13ms,98.66%,3.94k,84.05%,12.70k,84.05%,,,,
3,31,10,,111252,10.10s,28.67MB,11015.13,2.84MB,2.85ms,82.50%,66.94ms,82.50%,3.70k,72.19%,5.69k,72.19%,,,,
3,32,10,,110913,10.10s,28.58MB,10981.54,2.83MB,2.92ms,92.48%,85.09ms,92.48%,3.69k,66.56%,6.10k,66.56%,,,,
3,33,10,,125299,10.00s,32.29MB,12528.19,3.23MB,2.88ms,98.43%,266.98ms,98.43%,4.20k,69.33%,5.29k,69.33%,,,,
3,34,10,,129287,10.10s,33.31MB,12800.64,3.30MB,3.53ms,98.96%,204.20ms,98.96%,4.30k,72.85%,7.59k,72.85%,,,,
3,35,10,,131832,10.10s,33.97MB,13052.95,3.36MB,3.77ms,98.62%,332.89ms,98.62%,4.39k,74.17%,7.20k,74.17%,,,,
3,36,10,,128189,10.10s,33.03MB,12692.64,3.27MB,4.47ms,98.42%,204.01ms,98.42%,4.28k,92.36%,14.14k,92.36%,,,,
3,37,10,,127678,10.10s,32.90MB,12642.42,3.26MB,3.05ms,93.38%,94.30ms,93.38%,4.24k,69.97%,6.20k,69.97%,,,,
3,38,10,,126844,10.10s,32.68MB,12558.87,3.24MB,2.95ms,68.31%,53.81ms,68.31%,4.24k,93.02%,14.55k,93.02%,,,,
